day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_COLLISIONS
4,2021,01,14,2021-01-14,42.9,28.4,1010.5,8.2,1.6,4.1,999.9,48.9,35.1,0.0,999.9,0,253
6,2022,01,01,2022-01-01,52.3,49.5,1009.6,6.5,1.9,7.0,999.9,55.9,48.0,0.0,999.9,0,283
4,2018,01,11,2018-01-11,44.7,36.7,1028.2,8.8,2.4,6.0,999.9,53.1,30.0,0.0,3.9,0,696
3,2016,01,06,2016-01-06,31.2,2.8,1034.2,10.0,2.4,7.0,999.9,41.0,10.9,0.0,999.9,0,625
2,2023,01,03,2023-01-03,51.6,47.7,1017.3,5.8,2.5,7.0,999.9,57.0,46.4,0.04,999.9,1,225
1,2021,01,11,2021-01-11,32.4,20.5,1025.4,10.0,2.7,5.1,999.9,41.0,28.0,0.0,999.9,0,238
1,2023,01,30,2023-01-30,48.1,34.8,1020.4,10.0,2.7,8.9,999.9,55.0,42.1,0.0,999.9,0,232
4,2022,01,13,2022-01-13,39.6,24.2,1016.3,9.8,2.7,7.0,999.9,48.0,35.1,0.0,999.9,0,268
5,2020,01,31,2020-01-31,37.9,27.9,1026.3,10.0,2.7,5.1,999.9,44.1,25.0,0.0,999.9,0,518
4,2014,01,09,2014-01-09,25.3,5.4,1035.2,10.0,2.8,8.0,999.9,32.0,9.0,0.0,999.9,0,561
6,2020,01,04,2020-01-04,48.6,46.2,1005.7,4.9,2.8,6.0,999.9,51.1,44.1,0.34,999.9,1,353
5,2014,01,10,2014-01-10,32.3,22.6,1033.3,6.4,2.9,7.0,999.9,36.0,21.9,0.0,999.9,0,667
7,2013,01,13,2013-01-13,45.3,43.1,1019.7,4.2,2.9,8.0,999.9,48.9,43.0,0.02,999.9,1,373
1,2016,01,25,2016-01-25,32.7,16.2,1022.9,9.6,2.9,6.0,999.9,39.0,19.9,0.0,22.0,0,658
2,2020,01,14,2020-01-14,42.3,36.2,1027.0,7.7,2.9,8.0,999.9,46.0,37.0,0.0,999.9,0,497
4,2016,01,07,2016-01-07,37.9,8.7,1027.2,10.0,2.9,8.0,999.9,46.0,25.0,0.0,999.9,0,542
3,2021,01,13,2021-01-13,38.9,22.9,1016.8,8.9,3.0,8.0,17.1,44.1,33.1,0.0,999.9,0,245
1,2024,01,01,2024-01-01,42.5,29.6,1016.1,9.8,3.0,6.0,999.9,46.9,37.9,0.01,999.9,0,246
4,2017,01,19,2017-01-19,42.1,35.0,1016.5,10.0,3.0,8.0,999.9,48.9,37.9,0.06,999.9,0,610
4,2015,01,29,2015-01-29,26.6,6.5,1024.2,10.0,3.1,6.0,999.9,34.0,16.0,0.0,7.9,0,519
4,2014,01,30,2014-01-30,21.2,0.2,1027.9,10.0,3.1,8.9,18.1,30.0,14.0,0.0,2.0,0,657
1,2023,01,02,2023-01-02,52.0,38.0,1018.6,10.0,3.1,6.0,999.9,55.9,48.9,0.0,999.9,0,206
2,2024,01,02,2024-01-02,35.7,21.5,1018.0,10.0,3.1,6.0,999.9,46.9,28.9,0.02,999.9,0,253
1,2017,01,16,2017-01-16,35.0,20.0,1029.7,10.0,3.1,7.0,999.9,43.0,30.0,0.0,1.2,0,477
1,2018,01,22,2018-01-22,45.1,37.0,1021.1,7.0,3.2,8.0,14.0,50.0,41.0,0.01,999.9,0,559
3,2023,01,04,2023-01-04,59.1,52.8,1010.1,8.3,3.2,8.9,999.9,66.0,46.9,0.4,999.9,0,251
5,2018,01,26,2018-01-26,30.7,4.8,1037.1,10.0,3.2,8.0,14.0,37.9,23.0,0.0,999.9,0,677
4,2024,01,25,2024-01-25,51.8,48.0,1020.9,5.2,3.3,7.0,14.0,59.0,37.9,0.19,999.9,0,252
7,2023,01,22,2023-01-22,38.4,25.1,1021.2,9.6,3.3,8.0,999.9,42.1,36.0,0.0,999.9,0,243
6,2024,01,27,2024-01-27,45.3,38.9,1021.3,8.3,3.3,9.9,32.1,48.9,42.1,0.03,999.9,0,243
1,2015,01,12,2015-01-12,36.9,23.7,1029.2,6.6,3.3,8.9,15.0,37.9,35.1,0.01,1.2,0,580
3,2014,01,15,2014-01-15,42.6,37.5,1009.9,8.8,3.3,6.0,999.9,46.9,39.2,0.38,999.9,0,583
7,2015,01,18,2015-01-18,35.1,27.8,1021.2,5.7,3.3,6.0,999.9,42.8,30.0,0.0,999.9,1,961
2,2023,01,31,2023-01-31,40.8,28.8,1020.6,9.3,3.3,8.9,999.9,55.0,34.0,0.03,999.9,0,261
2,2021,01,12,2021-01-12,37.3,23.0,1019.9,9.4,3.4,6.0,999.9,44.1,28.0,0.0,999.9,0,279
7,2018,01,21,2018-01-21,46.0,28.3,1019.4,10.0,3.4,7.0,999.9,52.0,37.9,0.0,999.9,0,418
2,2023,01,17,2023-01-17,41.0,12.6,1006.8,10.0,3.4,7.0,999.9,48.0,28.0,0.0,999.9,0,256
1,2022,01,24,2022-01-24,30.5,20.7,1011.1,8.1,3.4,8.0,999.9,37.0,24.1,0.02,999.9,0,238
4,2015,01,22,2015-01-22,34.4,19.0,1022.5,8.3,3.4,8.0,999.9,39.9,25.0,0.0,999.9,0,508
6,2013,01,12,2013-01-12,44.6,43.0,1020.5,3.9,3.5,7.0,999.9,46.9,42.1,0.57,999.9,0,475
1,2013,01,28,2013-01-28,31.8,19.0,1029.1,6.9,3.5,8.9,18.1,34.0,28.9,0.0,1.2,0,507
3,2024,01,24,2024-01-24,41.1,34.9,1032.8,6.5,3.5,8.0,999.9,46.0,34.0,0.06,1.2,0,260
1,2022,01,31,2022-01-31,25.0,5.6,1025.3,10.0,3.5,6.0,14.0,30.9,12.0,0.0,7.1,0,312
3,2018,01,03,2018-01-03,21.6,2.1,1025.4,10.0,3.5,8.0,24.1,30.0,12.9,0.0,999.9,0,645
3,2013,01,30,2013-01-30,45.7,42.9,1010.2,3.5,3.6,8.9,999.9,59.0,39.0,0.06,999.9,1,497
4,2015,01,15,2015-01-15,29.5,16.3,1019.8,10.0,3.6,8.0,999.9,34.0,25.0,0.0,999.9,0,548
4,2013,01,03,2013-01-03,28.4,14.1,1020.6,10.0,3.7,8.0,15.0,32.0,24.1,0.0,999.9,0,549
3,2013,01,09,2013-01-09,43.8,30.8,1026.3,7.8,3.7,9.9,15.9,48.9,39.0,0.0,999.9,0,487
7,2017,01,22,2017-01-22,44.5,43.6,1006.9,3.4,3.7,9.9,17.1,48.9,41.0,0.0,999.9,1,411
3,2018,01,10,2018-01-10,35.1,21.0,1030.3,10.0,3.7,7.0,999.9,44.1,30.0,0.0,5.1,0,687
5,2022,01,28,2022-01-28,30.6,17.8,1021.2,6.6,3.7,8.0,17.1,32.0,17.1,0.0,999.9,0,283
7,2017,01,15,2017-01-15,33.0,23.8,1027.0,8.5,3.7,8.0,999.9,37.9,28.0,0.12,999.9,0,490
5,2020,01,03,2020-01-03,46.6,38.6,1009.7,8.1,3.7,6.0,15.0,48.9,33.1,0.06,999.9,0,456
2,2017,01,17,2017-01-17,40.0,30.4,1024.1,6.6,3.8,9.9,17.1,43.0,30.0,0.0,999.9,0,657
5,2016,01,15,2016-01-15,41.2,27.5,1012.0,9.5,3.8,8.0,15.0,51.1,21.9,0.0,999.9,0,722
7,2014,01,05,2014-01-05,30.3,21.9,1025.6,6.4,3.8,7.0,15.0,36.0,27.0,0.0,5.9,1,320
3,2024,01,31,2024-01-31,36.6,29.0,1020.4,9.5,3.8,8.0,15.0,39.9,33.8,0.0,999.9,0,244
7,2018,01,28,2018-01-28,51.2,42.8,1023.9,9.0,3.8,8.0,18.1,55.9,48.0,0.14,999.9,0,412
2,2018,01,16,2018-01-16,29.1,22.2,1032.0,10.0,3.9,7.0,999.9,36.0,16.0,0.0,999.9,0,617
2,2021,01,05,2021-01-05,38.4,29.6,1013.1,10.0,3.9,7.0,999.9,43.0,35.1,0.02,999.9,0,228
4,2021,01,21,2021-01-21,32.3,14.3,1010.8,10.0,3.9,9.9,20.0,43.0,25.0,0.02,999.9,0,251
1,2013,01,14,2013-01-14,52.5,45.4,1016.8,5.9,3.9,8.9,15.9,72.0,48.0,0.0,999.9,1,542
3,2020,01,15,2020-01-15,45.2,35.4,1020.8,7.2,4.0,9.9,17.1,50.0,39.0,0.07,999.9,0,508
6,2017,01,21,2017-01-21,42.9,41.0,1011.5,5.3,4.0,7.0,14.0,48.9,39.9,0.1,999.9,0,475
5,2017,01,20,2017-01-20,41.9,33.0,1016.1,9.3,4.0,8.9,999.9,48.9,39.0,0.0,999.9,0,605
2,2024,01,09,2024-01-09,41.7,31.2,1024.4,8.5,4.0,13.0,29.9,51.1,36.0,0.0,999.9,0,279
2,2017,01,10,2017-01-10,27.7,15.3,1035.5,10.0,4.0,8.0,14.0,37.9,14.0,0.0,3.1,0,597
6,2014,01,04,2014-01-04,15.8,-1.4,1031.0,10.0,4.0,8.0,17.1,28.0,8.1,0.02,5.9,0,418
6,2020,01,18,2020-01-18,23.9,6.5,1034.3,7.6,4.0,12.0,22.0,34.0,19.9,0.0,999.9,1,774
2,2023,01,10,2023-01-10,39.6,24.6,1015.6,9.9,4.0,7.0,999.9,44.1,37.0,0.0,999.9,0,252
6,2017,01,14,2017-01-14,31.1,16.4,1038.1,8.4,4.1,8.0,15.0,35.1,28.0,0.0,999.9,1,495
2,2020,01,21,2020-01-21,25.1,5.0,1029.7,10.0,4.1,8.0,15.0,33.1,19.9,0.0,999.9,0,556
7,2021,01,10,2021-01-10,34.1,16.8,1019.9,10.0,4.1,8.9,15.9,41.0,24.1,0.0,999.9,0,177
4,2016,01,28,2016-01-28,37.0,19.3,1015.4,10.0,4.1,12.0,15.9,46.9,32.0,0.0,9.1,0,681
7,2022,01,02,2022-01-02,53.2,50.6,1002.9,5.8,4.1,8.9,19.0,59.0,46.0,0.83,999.9,0,180
4,2023,01,12,2023-01-12,42.1,35.4,1020.7,9.4,4.2,8.9,15.0,54.0,35.1,0.01,999.9,0,280
7,2023,01,08,2023-01-08,37.7,21.9,1024.7,10.0,4.2,8.0,999.9,45.0,33.1,0.0,999.9,0,188
4,2020,01,30,2020-01-30,31.3,14.3,1024.8,10.0,4.2,8.0,15.0,37.9,25.0,0.0,999.9,0,525
3,2015,01,21,2015-01-21,31.4,8.9,1019.4,10.0,4.2,7.0,999.9,39.9,25.0,0.0,999.9,0,495
4,2022,01,27,2022-01-27,23.9,4.6,1029.9,10.0,4.2,8.0,999.9,32.0,17.1,0.0,999.9,0,272
3,2022,01,05,2022-01-05,37.5,29.1,1018.3,8.5,4.2,12.0,20.0,46.9,19.0,0.03,999.9,0,306
2,2015,01,06,2015-01-06,21.0,4.8,1026.7,7.3,4.2,9.9,22.0,27.0,19.0,0.0,999.9,0,777
6,2024,01,06,2024-01-06,34.2,21.5,1021.5,8.3,4.2,11.1,19.0,37.9,26.1,0.0,999.9,1,234
5,2023,01,06,2023-01-06,45.1,40.4,1014.8,6.9,4.3,8.0,14.0,50.0,42.1,0.26,999.9,0,234
7,2023,01,29,2023-01-29,48.8,29.2,1023.7,10.0,4.3,8.9,17.1,53.1,36.0,0.0,999.9,0,215
4,2023,01,19,2023-01-19,42.7,34.6,1015.0,7.5,4.3,8.9,15.9,53.1,39.9,0.54,999.9,0,298
5,2016,01,08,2016-01-08,40.2,25.5,1022.4,10.0,4.3,8.9,999.9,44.6,35.6,0.0,999.9,0,602
2,2013,01,29,2013-01-29,40.3,35.3,1018.2,5.3,4.3,8.0,14.0,48.0,34.0,0.22,1.2,0,542
4,2023,01,05,2023-01-05,49.0,46.4,1012.8,6.5,4.3,8.9,999.9,66.0,46.9,0.03,999.9,0,235
2,2018,01,23,2018-01-23,46.7,43.4,1008.5,4.4,4.4,11.1,19.0,60.1,37.9,0.02,999.9,1,531
5,2021,01,01,2021-01-01,36.5,24.6,1030.1,9.8,4.4,8.9,999.9,48.0,33.1,0.39,999.9,0,257
5,2017,01,06,2017-01-06,30.2,16.0,1016.5,8.0,4.4,8.0,15.0,34.0,27.0,0.04,999.9,1,600
2,2017,01,31,2017-01-31,29.3,15.8,1013.3,7.5,4.4,8.0,999.9,37.0,26.1,0.0,999.9,1,571
3,2023,01,25,2023-01-25,38.4,25.9,1024.0,8.7,4.4,8.9,17.1,46.0,35.1,0.0,999.9,0,256
2,2024,01,30,2024-01-30,36.3,24.5,1021.1,10.0,4.4,8.9,22.9,39.9,35.1,0.05,999.9,0,205
1,2014,01,13,2014-01-13,42.7,29.3,1018.0,9.8,4.4,9.9,21.0,54.0,37.0,0.05,999.9,0,568
5,2013,01,11,2013-01-11,40.5,27.1,1030.4,9.4,4.5,7.0,999.9,44.1,37.0,0.0,999.9,0,660
1,2023,01,09,2023-01-09,39.6,27.7,1015.6,9.4,4.5,8.9,15.0,44.1,33.1,0.01,999.9,0,242
5,2021,01,08,2021-01-08,32.0,19.5,1016.4,10.0,4.5,8.9,999.9,41.0,27.0,0.0,999.9,0,272
3,2018,01,17,2018-01-17,33.6,29.9,1025.3,6.4,4.5,9.9,15.9,36.0,25.0,0.0,999.9,0,611
2,2020,01,07,2020-01-07,41.2,20.3,1016.2,10.0,4.6,8.9,19.0,45.0,32.0,0.0,999.9,0,408
1,2017,01,09,2017-01-09,18.6,3.1,1037.9,10.0,4.6,8.0,17.1,25.0,14.0,0.0,3.9,0,669
3,2013,01,16,2013-01-16,34.2,30.0,1018.6,5.4,4.6,12.0,14.0,37.9,32.0,0.63,999.9,0,578
2,2016,01,12,2016-01-12,32.2,11.5,1013.5,10.0,4.6,9.9,24.1,44.1,25.0,0.0,999.9,0,637
3,2022,01,19,2022-01-19,37.4,19.8,1018.6,10.0,4.7,8.9,22.9,48.9,28.0,0.0,999.9,0,255
3,2022,01,12,2022-01-12,27.9,9.5,1025.0,10.0,4.7,12.0,21.0,39.9,15.1,0.0,999.9,0,250
2,2014,01,14,2014-01-14,48.3,40.0,1009.4,8.5,4.7,8.9,18.1,52.0,37.0,0.0,999.9,0,559
6,2020,01,11,2020-01-11,59.3,48.1,1024.9,10.0,4.8,7.0,19.0,68.0,51.1,0.0,999.9,0,439
7,2021,01,31,2021-01-31,23.7,9.1,1025.9,9.3,4.8,7.0,14.0,32.0,17.1,0.0,999.9,0,297
3,2024,01,03,2024-01-03,38.4,23.8,1016.1,10.0,4.8,7.0,999.9,43.0,28.9,0.0,999.9,0,237
5,2018,01,19,2018-01-19,30.4,13.7,1017.0,10.0,4.8,8.9,999.9,37.9,18.0,0.0,999.9,0,599
1,2020,01,13,2020-01-13,43.3,32.2,1029.0,9.8,4.8,8.0,999.9,68.0,37.0,0.0,999.9,0,476
7,2023,01,01,2023-01-01,52.4,43.7,1011.6,8.1,4.8,8.9,15.0,55.0,50.0,0.28,999.9,0,275
2,2022,01,25,2022-01-25,37.3,24.3,1012.6,9.0,4.9,8.9,15.0,42.1,26.1,0.0,999.9,0,235
4,2013,01,17,2013-01-17,39.2,28.0,1015.6,9.7,4.9,8.0,15.9,43.0,36.0,0.09,999.9,0,491
1,2017,01,30,2017-01-30,34.6,13.9,1007.9,10.0,4.9,9.9,15.9,43.0,30.9,0.0,999.9,0,545
4,2020,01,09,2020-01-09,28.2,6.2,1035.6,10.0,4.9,12.0,21.0,42.1,23.0,0.0,999.9,0,521
5,2014,01,31,2014-01-31,30.7,9.9,1021.2,10.0,5.0,8.9,15.9,39.0,16.0,0.0,1.2,0,560
7,2017,01,01,2017-01-01,44.8,22.9,1017.9,10.0,5.0,9.9,21.0,48.0,43.0,0.0,999.9,0,485
4,2016,01,21,2016-01-21,30.9,12.5,1019.7,10.0,5.0,8.9,19.0,37.0,26.1,0.0,999.9,0,666
1,2021,01,25,2021-01-25,29.0,9.0,1019.6,10.0,5.0,11.1,17.1,37.0,21.9,0.0,999.9,0,260
6,2015,01,03,2015-01-03,35.5,22.4,1032.6,7.6,5.0,8.9,14.0,42.1,33.1,0.0,999.9,0,456
4,2016,01,14,2016-01-14,27.9,8.6,1014.2,10.0,5.1,8.9,17.1,37.0,21.9,0.0,999.9,0,597
2,2016,01,26,2016-01-26,41.4,26.9,1018.9,9.8,5.1,8.9,25.1,48.0,28.0,0.0,18.9,0,734
2,2015,01,20,2015-01-20,37.5,20.2,1012.3,10.0,5.1,8.0,17.1,42.1,34.0,0.0,999.9,0,500
4,2017,01,26,2017-01-26,49.2,34.4,997.8,9.8,5.1,15.0,27.0,54.0,45.0,0.0,999.9,0,563
1,2018,01,08,2018-01-08,22.5,7.7,1024.3,9.6,5.1,9.9,24.1,30.0,5.0,0.0,5.9,0,720
3,2014,01,01,2014-01-01,28.2,10.7,1026.8,10.0,5.1,8.9,20.0,33.1,21.0,0.0,999.9,0,399
6,2018,01,27,2018-01-27,42.6,28.2,1031.8,10.0,5.1,9.9,18.1,55.9,26.1,0.0,999.9,0,510
7,2015,01,04,2015-01-04,45.4,42.3,1010.6,5.8,5.1,8.9,19.0,55.9,33.1,0.89,999.9,0,381
1,2013,01,21,2013-01-21,29.8,9.3,1016.1,10.0,5.1,11.1,22.9,39.9,26.1,0.0,999.9,0,355
2,2013,01,08,2013-01-08,40.7,25.4,1028.5,9.3,5.1,8.9,22.0,48.0,35.1,0.0,999.9,0,513
4,2024,01,04,2024-01-04,40.0,23.8,1014.8,10.0,5.2,15.0,22.9,45.0,34.0,0.0,999.9,0,219
6,2022,01,22,2022-01-22,20.5,3.4,1029.3,10.0,5.2,11.1,17.1,28.9,12.9,0.0,999.9,0,267
4,2020,01,02,2020-01-02,39.6,22.4,1013.2,10.0,5.2,9.9,17.1,48.9,33.1,0.0,999.9,0,413
5,2024,01,26,2024-01-26,45.2,41.6,1019.0,6.3,5.2,11.1,33.0,59.0,42.1,0.25,999.9,0,267
5,2020,01,10,2020-01-10,41.4,29.3,1035.4,10.0,5.2,8.9,15.9,55.0,23.0,0.0,999.9,0,522
3,2017,01,11,2017-01-11,45.8,37.8,1024.9,9.5,5.3,12.0,20.0,52.0,37.9,0.26,3.1,0,629
5,2016,01,22,2016-01-22,25.9,5.1,1023.7,10.0,5.3,12.0,17.1,36.0,21.0,0.0,999.9,0,702
1,2024,01,15,2024-01-15,26.9,3.5,1022.4,10.0,5.3,8.0,15.9,44.1,23.0,0.0,999.9,0,197
6,2023,01,21,2023-01-21,40.0,25.8,1017.3,10.0,5.3,12.0,19.0,48.9,37.9,0.0,999.9,0,230
3,2013,01,02,2013-01-02,27.1,10.5,1016.8,10.0,5.3,9.9,19.0,33.1,21.9,0.0,999.9,0,480
7,2022,01,23,2022-01-23,29.1,7.8,1014.3,10.0,5.3,9.9,18.1,37.0,12.9,0.0,999.9,0,229
7,2013,01,06,2013-01-06,38.3,25.0,1019.5,8.5,5.3,8.9,17.1,46.0,34.0,0.0,999.9,0,393
1,2021,01,04,2021-01-04,37.7,32.1,1014.5,9.2,5.3,11.1,18.1,43.0,34.0,0.24,999.9,0,242
4,2015,01,01,2015-01-01,31.4,8.1,1019.6,10.0,5.3,9.9,25.1,39.0,27.0,0.0,999.9,0,395
3,2023,01,11,2023-01-11,37.8,22.4,1022.2,10.0,5.4,8.9,15.9,41.0,35.1,0.0,999.9,0,216
1,2020,01,06,2020-01-06,37.3,25.2,1014.3,8.9,5.4,11.1,20.0,45.0,32.0,0.04,999.9,0,459
3,2021,01,27,2021-01-27,34.3,27.2,1014.4,7.4,5.4,11.1,20.0,37.0,30.9,0.1,999.9,0,262
5,2023,01,27,2023-01-27,39.2,24.0,1016.3,10.0,5.4,11.1,22.0,57.0,35.1,0.44,999.9,0,235
7,2015,01,11,2015-01-11,25.7,3.0,1035.9,10.0,5.5,9.9,20.0,37.0,16.0,0.0,1.2,0,341
5,2016,01,29,2016-01-29,38.3,21.7,1001.0,9.5,5.5,12.0,22.9,42.1,32.0,0.0,5.9,0,645
6,2015,01,24,2015-01-24,35.4,29.3,1005.6,4.2,5.5,11.1,17.1,39.0,28.0,0.66,999.9,1,428
6,2016,01,16,2016-01-16,46.0,37.3,999.9,8.6,5.5,11.1,19.0,52.0,34.0,0.21,999.9,0,563
5,2023,01,20,2023-01-20,43.4,36.1,1003.9,8.5,5.5,13.0,22.9,48.9,39.9,0.33,999.9,0,235
5,2015,01,23,2015-01-23,32.7,15.6,1024.9,10.0,5.5,8.9,19.0,39.9,28.0,0.0,999.9,0,598
1,2024,01,22,2024-01-22,29.2,10.9,1032.9,10.0,5.5,9.9,22.0,37.9,19.9,0.0,1.2,0,244
5,2024,01,19,2024-01-19,30.6,17.2,1013.4,7.2,5.5,18.1,29.9,34.0,21.9,0.0,1.2,0,252
3,2016,01,20,2016-01-20,30.7,13.1,1020.5,10.0,5.6,11.1,21.0,37.0,16.0,0.0,999.9,0,623
2,2024,01,23,2024-01-23,36.6,21.6,1031.5,9.4,5.6,9.9,18.1,39.9,25.0,0.0,1.2,0,225
7,2013,01,27,2013-01-27,24.5,7.5,1030.3,10.0,5.6,9.9,15.9,34.0,19.0,0.0,2.0,0,429
7,2016,01,31,2016-01-31,42.6,24.5,1013.7,10.0,5.6,11.1,22.0,55.9,28.0,0.0,5.9,0,532
6,2014,01,11,2014-01-11,47.7,45.2,1014.7,3.1,5.6,9.9,21.0,57.9,30.0,1.4,999.9,1,465
2,2013,01,15,2013-01-15,37.9,27.9,1025.5,9.7,5.7,11.1,14.0,50.0,35.1,0.09,999.9,0,516
6,2013,01,26,2013-01-26,19.9,9.2,1019.8,9.0,5.7,9.9,15.0,26.1,15.1,0.07,999.9,0,558
1,2013,01,07,2013-01-07,40.9,23.8,1022.6,10.0,5.7,11.1,17.1,45.0,37.0,0.0,999.9,0,521
5,2013,01,18,2013-01-18,30.2,12.2,1024.4,10.0,5.7,9.9,20.0,39.9,25.0,0.0,999.9,0,561
2,2021,01,19,2021-01-19,37.8,23.4,1015.9,10.0,5.7,12.0,22.0,45.0,35.1,0.0,999.9,0,261
3,2021,01,20,2021-01-20,36.6,19.2,1014.4,9.5,5.7,13.0,22.9,43.0,30.9,0.0,999.9,0,253
5,2021,01,22,2021-01-22,40.9,21.7,1004.6,10.0,5.7,12.0,25.1,45.0,25.0,0.0,999.9,0,254
2,2022,01,04,2022-01-04,25.3,8.7,1027.2,10.0,5.7,9.9,18.1,37.0,19.0,0.0,999.9,0,255
5,2018,01,12,2018-01-12,54.5,52.8,1015.6,5.9,5.7,8.9,19.0,61.0,41.0,0.0,3.1,1,704
5,2021,01,15,2021-01-15,41.2,34.4,1013.3,7.0,5.7,12.0,17.1,48.9,37.9,0.0,999.9,0,272
3,2022,01,26,2022-01-26,25.6,4.1,1025.0,10.0,5.8,11.1,20.0,42.1,19.9,0.0,999.9,0,266
1,2024,01,08,2024-01-08,39.1,23.9,1022.7,9.6,5.8,11.1,20.0,45.0,34.0,0.11,999.9,0,236
7,2017,01,29,2017-01-29,38.4,18.6,1006.0,10.0,5.8,11.1,17.1,43.0,35.1,0.0,999.9,0,428
7,2015,01,25,2015-01-25,37.8,20.0,1004.0,9.9,5.8,9.9,22.9,42.1,33.1,0.06,3.1,0,406
7,2016,01,17,2016-01-17,37.3,23.1,1009.2,8.6,5.8,9.9,15.9,52.0,30.0,0.03,999.9,1,451
3,2014,01,29,2014-01-29,17.4,-2.4,1022.0,8.4,5.8,8.9,18.1,23.0,12.0,0.04,1.2,0,649
4,2024,01,11,2024-01-11,44.0,25.5,1008.3,10.0,5.8,9.9,19.0,57.0,41.0,0.22,999.9,0,290
1,2014,01,27,2014-01-27,34.8,17.4,1006.9,10.0,5.9,15.0,24.1,44.1,25.0,0.0,3.9,0,511
1,2024,01,29,2024-01-29,37.8,31.6,1008.6,8.9,5.9,11.1,28.0,44.1,37.0,0.46,999.9,0,257
5,2024,01,12,2024-01-12,44.5,28.4,1018.6,10.0,5.9,14.0,28.0,50.0,39.9,0.0,999.9,0,299
4,2013,01,10,2013-01-10,44.3,25.4,1028.5,9.9,5.9,11.1,19.0,48.0,39.9,0.0,999.9,0,555
2,2021,01,26,2021-01-26,33.3,19.7,1017.0,7.5,6.0,11.1,17.1,37.0,23.0,0.0,999.9,0,263
3,2018,01,31,2018-01-31,24.9,6.8,1022.1,10.0,6.0,13.0,24.1,36.0,18.0,0.02,999.9,0,596
6,2016,01,02,2016-01-02,35.8,17.7,1016.9,10.0,6.0,12.0,18.1,42.1,32.0,0.0,999.9,0,422
5,2023,01,13,2023-01-13,52.0,46.8,1002.3,8.2,6.0,11.1,20.0,57.0,37.0,0.38,999.9,0,299
6,2021,01,09,2021-01-09,30.7,14.9,1011.6,10.0,6.0,13.0,24.1,37.0,24.1,0.0,999.9,0,244
6,2016,01,30,2016-01-30,32.8,15.8,1014.6,10.0,6.0,11.1,22.0,41.0,28.0,0.0,5.9,0,596
3,2017,01,04,2017-01-04,44.6,37.3,998.8,7.9,6.1,15.0,27.0,52.0,39.9,0.49,999.9,0,590
5,2013,01,25,2013-01-25,17.1,1.5,1027.5,9.3,6.1,11.1,22.0,24.1,12.9,0.0,999.9,0,674
1,2021,01,18,2021-01-18,41.3,25.6,1006.3,10.0,6.1,9.9,18.1,45.0,35.1,0.0,999.9,0,225
2,2013,01,01,2013-01-01,37.8,23.6,1011.9,10.0,6.1,8.9,19.0,39.9,33.1,0.0,999.9,0,381
6,2023,01,28,2023-01-28,42.7,21.7,1022.7,10.0,6.1,11.1,28.0,52.0,35.1,0.0,999.9,0,260
3,2023,01,18,2023-01-18,47.5,32.2,1006.7,9.8,6.1,13.0,22.0,53.1,35.1,0.05,999.9,0,258
4,2022,01,06,2022-01-06,38.7,23.9,1009.8,10.0,6.1,9.9,18.1,46.9,30.9,0.2,999.9,0,233
6,2017,01,07,2017-01-07,23.0,11.3,1024.1,5.7,6.2,9.9,18.1,28.9,19.4,0.01,1.2,1,896
7,2022,01,09,2022-01-09,34.0,21.3,1027.4,9.7,6.2,12.0,19.0,39.0,19.9,0.0,3.1,0,234
6,2023,01,07,2023-01-07,40.7,28.5,1019.9,10.0,6.2,8.9,999.9,48.9,37.0,0.01,999.9,0,181
